中央卫视,#genre#
河南卫视,http://huixingy.top:18888/rtsp/220.191.136.24/PLTV/88888913/224/3221229057/10000100000000060000000004835833_0.smil
江西卫视,http://huixingy.top:18888/rtsp/220.191.136.24/PLTV/88888913/224/3221229127/10000100000000060000000004835832_0.smil
东南卫视,http://huixingy.top:18888/rtsp/220.191.136.24/PLTV/88888913/224/3221229040/10000100000000060000000004835831_0.smil
安徽卫视,http://huixingy.top:18888/rtsp/220.191.136.24/PLTV/88888913/224/3221228120/10000100000000060000000002242150_0.smil
湖北卫视,http://huixingy.top:18888/rtsp/220.191.136.24/PLTV/88888913/224/3221228102/10000100000000060000000002242149_0.smil
黑龙江卫视,http://huixingy.top:18888/rtsp/220.191.136.24/PLTV/88888913/224/3221228068/10000100000000060000000002242148_0.smil
东方卫视,http://huixingy.top:18888/rtsp/220.191.136.24/PLTV/88888913/224/3221228140/10000100000000060000000002670196_0.smil
西藏卫视,http://huixingy.top:18888/rtsp/220.191.136.24/PLTV/88888913/224/3221229457/134307492.smil
兵团卫视,http://huixingy.top:18888/rtsp/220.191.136.24/PLTV/88888913/224/3221229461/134307530.smil
宁夏卫视,http://huixingy.top:18888/rtsp/220.191.136.24/PLTV/88888913/224/3221229462/134307486.smil
新疆卫视,http://huixingy.top:18888/rtsp/220.191.136.24/PLTV/88888913/224/3221229459/134307257.smil
浙江卫视,http://183.129.255.66:8480/hls/27/index.m3u8
广东卫视,http://183.129.255.66:8480/hls/31/index.m3u8
安徽卫视,http://183.129.255.66:8480/hls/28/index.m3u8
江苏卫视,http://183.129.255.66:8480/hls/33/index.m3u8
河北卫视,http://183.129.255.66:8480/hls/39/index.m3u8
东方卫视,http://183.129.255.66:8480/hls/30/index.m3u8
四川卫视,http://183.129.255.66:8480/hls/36/index.m3u8
重庆卫视,http://183.129.255.66:8480/hls/37/index.m3u8
云南卫视,http://183.129.255.66:8480/hls/40/index.m3u8
天津卫视,http://183.129.255.66:8480/hls/42/index.m3u8
河南卫视,http://183.129.255.66:8480/hls/38/index.m3u8
内蒙古卫视,http://183.129.255.66:8480/hls/48/index.m3u8
江西卫视,http://183.129.255.66:8480/hls/44/index.m3u8
陕西卫视,http://183.129.255.66:8480/hls/43/index.m3u8
重温经典,http://183.129.255.66:8480/hls/50/index.m3u8
北京卫视,http://183.129.255.66:8480/hls/29/index.m3u8
深圳卫视,http://183.129.255.66:8480/hls/34/index.m3u8
湖北卫视,http://183.129.255.66:8480/hls/41/index.m3u8
