酒儿公告,#genre#
CCTV5+,http://49.71.65.134:8800/rtp/239.49.8.18:9610$『线路16』
CCTV5+,http://49.74.204.146:8888/rtp/239.49.8.18:9610$『线路17』
CCTV5+,http://36.6.151.177:8888/rtp/238.1.78.237:7768$『线路18』
CCTV6,http://www.baopiqi.top:4022/udp/239.45.1.70:5140$『线路1』
CCTV6,http://222.184.193.235:55555/rtp/239.49.8.76:8000$『线路2』
CCTV6,http://222.212.166.172:8888/rtp/239.93.1.13:2226$『线路3』
CCTV6,http://218.1.139.206:8888/rtp/239.45.1.70:5140$『线路4』
CCTV6,http://171.213.128.34:4022/rtp/239.93.1.13:2226$『线路5』
CCTV6,http://171.88.144.241:4022/rtp/239.93.1.13:2226$『线路6』
CCTV6,http://125.116.52.226:4022/rtp/233.50.201.198:5140$『线路7』
CCTV6,http://121.237.247.189:8888/rtp/239.49.8.76:8000$『线路8』
CCTV6,http://116.226.123.242:4022/rtp/239.45.1.70:5140$『线路9』
CCTV6,http://115.195.17.233:8888/rtp/233.50.201.198:5140$『线路10』
CCTV6,http://115.198.129.134:8000/rtp/233.50.201.198:5140$『线路11』
CCTV6,http://115.204.248.218:8888/rtp/233.50.201.198:5140$『线路12』
CCTV6,http://115.206.115.148:4022/rtp/233.50.201.198:5140$『线路13』
CCTV6,http://115.224.205.125:8888/rtp/233.50.201.198:5140$『线路14』
CCTV6,http://115.60.241.249:2000/rtp/225.1.4.160:1196$『线路15』
CCTV6,http://114.97.197.61:4022/rtp/238.1.78.172:7248$『线路16』
CCTV6,http://60.188.194.72:8888/rtp/233.50.201.198:5140$『线路17』
CCTV6,http://58.32.42.132:4022/rtp/239.45.1.70:5140$『线路18』
CCTV6,http://49.71.65.134:8800/rtp/239.49.8.76:8000$『线路19』
CCTV6,http://49.74.204.146:8888/rtp/239.49.8.76:8000$『线路20』
CCTV6,http://36.6.151.177:8888/rtp/238.1.78.172:7248$『线路21』
CCTV7,http://www.baopiqi.top:4022/udp/239.45.3.56:5140$『线路1』
CCTV7,http://222.184.193.235:55555/rtp/239.49.0.126:8000$『线路2』
CCTV7,http://222.212.166.172:8888/rtp/239.93.1.67:5140$『线路3』
CCTV7,http://218.1.139.206:8888/rtp/239.45.3.56:5140$『线路4』
CCTV7,http://171.213.128.34:4022/rtp/239.93.1.67:5140$『线路5』
CCTV7,http://171.88.144.241:4022/rtp/239.93.1.67:5140$『线路6』
CCTV7,http://125.116.52.226:4022/rtp/233.50.201.120:5140$『线路7』
CCTV7,http://121.237.247.189:8888/rtp/239.49.0.126:8000$『线路8』
CCTV7,http://116.226.123.242:4022/rtp/239.45.3.56:5140$『线路9』
CCTV7,http://115.195.17.233:8888/rtp/233.50.201.120:5140$『线路10』
CCTV7,http://115.198.129.134:8000/rtp/233.50.201.120:5140$『线路11』
CCTV7,http://115.204.248.218:8888/rtp/233.50.201.120:5140$『线路12』
CCTV7,http://115.206.115.148:4022/rtp/233.50.201.120:5140$『线路13』
CCTV7,http://115.224.205.125:8888/rtp/233.50.201.120:5140$『线路14』
CCTV7,http://115.60.241.249:2000/rtp/225.1.4.76:1105$『线路15』
CCTV7,http://114.97.197.61:4022/rtp/238.1.78.239:7784$『线路16』
CCTV7,http://60.188.194.72:8888/rtp/233.50.201.120:5140$『线路17』
CCTV7,http://58.32.42.132:4022/rtp/239.45.3.56:5140$『线路18』
CCTV7,http://49.71.65.134:8800/rtp/239.49.0.126:8000$『线路19』
CCTV7,http://49.74.204.146:8888/rtp/239.49.0.126:8000$『线路20』
CCTV7,http://36.6.151.177:8888/rtp/238.1.78.239:7784$『线路21』
CCTV8,http://www.baopiqi.top:4022/udp/239.45.1.71:5140$『线路1』
CCTV8,http://222.184.193.235:55555/rtp/239.49.8.77:8000$『线路2』
CCTV8,http://222.212.166.172:8888/rtp/239.93.42.39:5140$『线路3』
CCTV8,http://218.1.139.206:8888/rtp/239.45.1.71:5140$『线路4』
CCTV8,http://171.213.128.34:4022/rtp/239.93.42.39:5140$『线路5』
CCTV8,http://171.88.144.241:4022/rtp/239.93.42.39:5140$『线路6』
CCTV8,http://125.116.52.226:4022/rtp/233.50.201.199:5140$『线路7』
CCTV8,http://121.237.247.189:8888/rtp/239.49.8.77:8000$『线路8』
CCTV8,http://116.226.123.242:4022/rtp/239.45.1.71:5140$『线路9』
CCTV8,http://115.195.17.233:8888/rtp/233.50.201.199:5140$『线路10』
CCTV8,http://115.198.129.134:8000/rtp/233.50.201.199:5140$『线路11』
